Geographic Area Name,industry,median_income,Gender
Maine,"Transportation and warehousing, and utilities:",56208,All
Maryland,"Transportation and warehousing, and utilities:",55190,All
Massachusetts,"Transportation and warehousing, and utilities:",64926,All
Michigan,"Transportation and warehousing, and utilities:",56371,All
Minnesota,"Transportation and warehousing, and utilities:",61306,All
Mississippi,"Transportation and warehousing, and utilities:",51547,All
Missouri,"Transportation and warehousing, and utilities:",56477,All
Montana,"Transportation and warehousing, and utilities:",61209,All
Nebraska,"Transportation and warehousing, and utilities:",64360,All
Nevada,"Transportation and warehousing, and utilities:",47107,All
New Hampshire,"Transportation and warehousing, and utilities:",59951,All
New Jersey,"Transportation and warehousing, and utilities:",61372,All
New Mexico,"Transportation and warehousing, and utilities:",52462,All
New York,"Transportation and warehousing, and utilities:",62305,All
North Carolina,"Transportation and warehousing, and utilities:",51609,All
North Dakota,"Transportation and warehousing, and utilities:",66467,All
Ohio,"Transportation and warehousing, and utilities:",52111,All
Oklahoma,"Transportation and warehousing, and utilities:",55285,All
Oregon,"Transportation and warehousing, and utilities:",60096,All
Pennsylvania,"Transportation and warehousing, and utilities:",57066,All
Rhode Island,"Transportation and warehousing, and utilities:",56334,All
South Carolina,"Transportation and warehousing, and utilities:",51179,All
South Dakota,"Transportation and warehousing, and utilities:",59863,All
Tennessee,"Transportation and warehousing, and utilities:",50921,All
Texas,"Transportation and warehousing, and utilities:",53249,All
Utah,"Transportation and warehousing, and utilities:",53177,All
Vermont,"Transportation and warehousing, and utilities:",67712,All
Virginia,"Transportation and warehousing, and utilities:",55966,All
Washington,"Transportation and warehousing, and utilities:",64280,All
West Virginia,"Transportation and warehousing, and utilities:",56424,All
Wisconsin,"Transportation and warehousing, and utilities:",53807,All
Wyoming,"Transportation and warehousing, and utilities:",63756,All
Puerto Rico,"Transportation and warehousing, and utilities:",26225,All
Alabama,"Transportation and warehousing, and utilities:!!Transportation and warehousing",50783,All
Alaska,"Transportation and warehousing, and utilities:!!Transportation and warehousing",60832,All
Arizona,"Transportation and warehousing, and utilities:!!Transportation and warehousing",49057,All
Arkansas,"Transportation and warehousing, and utilities:!!Transportation and warehousing",52828,All
California,"Transportation and warehousing, and utilities:!!Transportation and warehousing",50410,All
Colorado,"Transportation and warehousing, and utilities:!!Transportation and warehousing",52476,All
Connecticut,"Transportation and warehousing, and utilities:!!Transportation and warehousing",56323,All
Delaware,"Transportation and warehousing, and utilities:!!Transportation and warehousing",54652,All
District of Columbia,"Transportation and warehousing, and utilities:!!Transportation and warehousing",70583,All
Florida,"Transportation and warehousing, and utilities:!!Transportation and warehousing",45459,All
Georgia,"Transportation and warehousing, and utilities:!!Transportation and warehousing",50813,All
Hawaii,"Transportation and warehousing, and utilities:!!Transportation and warehousing",54142,All
Idaho,"Transportation and warehousing, and utilities:!!Transportation and warehousing",43559,All
Illinois,"Transportation and warehousing, and utilities:!!Transportation and warehousing",52953,All
Indiana,"Transportation and warehousing, and utilities:!!Transportation and warehousing",50353,All
Iowa,"Transportation and warehousing, and utilities:!!Transportation and warehousing",53550,All
Kansas,"Transportation and warehousing, and utilities:!!Transportation and warehousing",51407,All
Kentucky,"Transportation and warehousing, and utilities:!!Transportation and warehousing",49263,All
