SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,New Georeferenced Column
268579615,5/20/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,77,1001868,183705,40.67088696,-73.93648925,POINT (-73.93648925 40.67088696)
268613153,5/21/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,WHITE HISPANIC,2,BROOKLYN,81,1001856,193159,40.696838,-73.936507,POINT (-73.936507 40.696838)
268649162,5/22/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,WHITE,0,MANHATTAN,14,986712,213570,40.752877,-73.991111,POINT (-73.991111 40.752877)
268684853,5/22/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,2,BROOKLYN,79,1000354,189925,40.68796233,-73.94193217,POINT (-73.94193217 40.68796233)
268636222,5/22/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,84,988668,190715,40.69014424,-73.98406905,POINT (-73.98406905 40.69014424)
268742314,5/23/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,WHITE HISPANIC,0,MANHATTAN,33,1000900,244770,40.83849664,-73.93982756,POINT (-73.93982756 40.83849664)
268742315,5/23/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,WHITE HISPANIC,0,MANHATTAN,33,1000900,244770,40.83849664,-73.93982756,POINT (-73.93982756 40.83849664)
268702173,5/23/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,84,988983,194223,40.69977273,-73.98293072,POINT (-73.98293072 40.69977273)
268718509,5/23/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK HISPANIC,0,MANHATTAN,33,999587,243998,40.8363801,-73.94457445,POINT (-73.94457445 40.8363801)
268813293,5/24/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,<18,M,BLACK,0,BRONX,47,1030642,263299,40.88924688,-73.83221307,POINT (-73.83221307 40.88924688)
