Date,location,operator,planeType,Dead,Aboard,Ground,,,
9/2/28,"Toul, France",CIDNA,Bleriot Spad 33,5,5,0,,,
9/4/28,"Pocatello, Idaho",National Parks Airways,Fokker Super Universal,7,7,0,,,
9/4/28,"Adelaide Hills, Australia",Qantas,de Havilland DH.50J,1,2,0,,,
9/6/28,"Heroldbach, Germany",Deutsche Lufthansa,Fokker FG III,3,3,0,,,
10/4/28,"Gerona, Spain",Aeropostale,Breguet 14,3,3,0,,,
10/18/28,"Polk, Pennsylvania",National Air Transport,Douglas M-4,1,1,0,,,
10/31/28,"Valence, France",Air Union,Bleriot Spad 56,1,2,0,,,
11/15/28,Off Gibraltar,Aeropostale,Latecoere 32,1,2,0,,,
11/24/28,"Edgerton, Ohio",Universal Airlines,Hamilton H-47,3,3,0,,,
11/25/28,"Edgerton, Ohio",Continental Air Lines,Travel Air 4000,3,3,0,,,
11/25/28,"Bristolville, Ohio",National Air Transport,Douglas M-4,1,1,0,,,
12/1/28,"Spur, Texas",Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor,5,5,0,,,
12/3/28,Brazil,Syndicato Condor,Dornier Wal,14,14,0,,,
12/4/28,"Rio de Janeiro, Brazil",?,Junkers G24,6,6,0,,,
12/11/28,"Letzlingen, Germany",Deutsche Lufthansa,Junkers G-31,3,4,0,,,
12/20/28,"Huron, Ohio",National Air Transport,Douglas M-4,1,1,0,,,
12/23/28,"Chattanooga, Tennessee",Interstate Airlines,Fairchild FC-2,4,4,0,,,
12/31/28,"Reims, France",CIDNA,Bl????riot Spad 66,2,3,0,,,
1/5/29,"Stafford Springs, Connecticut",Colonial Air Transport,Fairchild FC-2,1,1,0,,,
1/18/29,"Cove, Oregon",Varney Air Lines,Stearman C-38,1,1,0,,,
1/25/29,"Near Corfu, Greece",Aeroespresso,CMASA Wal,2,9,0,,,
1/31/29,"Morgantown, West Virginia",Skyline Transportation Company,Travel Air 4000,1,1,0,,,
1/31/29,Off Morocco,Aeropostale,Latecoere 26,2,2,0,,,
3/17/29,"Newark, New Jersey",Colonial Western Airlines,Ford 5-AT-B Tri Motor,14,15,0,,,
3/30/29,"Near Beaumont, California",New Standard Airlines,Fokker F-VIIA,4,4,0,,,
4/21/29,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9D,6,6,0,,,
5/18/29,Hungary,MALERT,Fokker F-III,2,2,0,,,
5/22/29,Algiers,Aeropostale,Cams 53,4,5,0,,,
6/10/29,"Santiago de Cuba, Cuba",Pan American Airways,Fokker F-X,2,5,0,,,
6/14/29,"Barcelona, Spain",Aeropostale,Breguet 14,1,2,0,,,
6/17/29,"Off Dungeness, England",Imperial Airways,Handley Page W-10,7,13,0,,,
6/24/29,"St. Paul, Minnesota",Northwest Orient Airlines,Ford 5-AT-B Tri-Motor,1,8,0,,,
6/29/29,"Columbus, Ohio",Continental Air Lines,Travel Air 4000,1,1,0,,,
6/29/29,"Near Lindau, Bavaria, Germany",Bodensee Aerolloyd,Domier Delphin III (flying boat),5,5,0,,,
8/11/29,"Clovis, New Mexico",Middle States Airlines,Lockheed Vega,4,4,0,,,
8/13/29,"Perpignan, France",Aeropostale,Breguet 14,1,1,0,,,
8/24/29,"Sochi, Russia",Ukvozduchput,Kalinin K-4,1,1,0,,,
8/24/29,"Elm, Germany",Deutsche Lufthansa,Fokker FG II,4,5,0,,,
9/2/29,"Needles, California",Associated Aviators,Lockheed Vega,1,2,0,,,
9/3/29,"Mt. Taylor, near Grants, New Mexico",Trans Continental Air Transport,Ford 5-AT-B Tri Motor,8,8,0,,,
9/6/29,"Jask, Iran",Imperial Airways,de Havilland DH-66 Hercules,3,5,0,,,
9/14/29,North Atlantic Ocean,Aeropostale,Latecoere,6,6,0,,,
9/17/29,"Off Larache, Morocco",Aeropostale,Latecoere 25-3-R,5,5,0,,,
9/17/29,"Mt Lamentation, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1,1,0,,,
9/17/29,"Jacumba, California",Pickwick Airways,Fairchild 71,1,2,0,,,
10/26/29,"Off Spezia, Italy",Imperial Airways,Short Calcutta (flying boat),7,7,0,,,
10/29/29,"Mount Vernon, Ohio",Continental Air Lines,Stearman C-38,1,1,0,,,
10/31/29,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Loening C-2C,2,2,0,,,
11/4/29,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Lockheed Vega 5,4,4,0,,,
11/6/29,"Near Godstone, Surrey, England",Deutsche Lufthansa,Junkers G-24,7,8,0,,,
11/15/29,"Off Corsica, France",Air Union,Liore et Olivier 190,3,3,0,,,
11/20/29,"Terranova Pausania, East Sardinia",S.A.M. Societ???? Aerea Mediterranea,Savoia Marchetti S55,1,8,0,,,
11/30/29,"Vancouver, Washington",Varney Air Lines,Stearman M-2 Speedmail,1,1,0,,,
12/2/29,"Chagrin Falls, Ohio",National Air Transport,Douglas M-3,1,1,0,,,
12/14/29,Mediterranean Sea,Aeropostale,Bernard 192,3,3,0,,,
12/19/29,"Near Berlin, Germany",Deutsche Lufthansa,Arado V1,2,3,0,,,
12/30/29,"Amarillo, Texas",Trans Continental Air Transport,Travel Air B6000,5,5,0,,,
1/10/30,"Brawnson, Nebraska",Boeing Air Transport,Boeing 95,1,1,NA,,,
1/13/30,"Antananarivo, Madagascar",Air Orient,Farman 190,3,3,NA,,,
1/19/30,"Oceanside, California",Maddux Airlines,Ford 5-AT-C Tri Motor,16,16,NA,,,
1/25/30,"Off Ceuta, Spain",Aeropostale,Latecoere 25,2,2,NA,,,
1/27/30,"Kansas City, Missouri",Central  Airlines (Universal Aviation Corporation),Travel Air A6000A,5,5,NA,,,
2/3/30,"Hartford, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1,1,NA,,,
2/10/30,"Marden, England",Air Union,Farman F-63,2,2,NA,,,
4/18/30,"Jersey City, New Jersey",Canadian Colonial Airways,Fairchild 71,4,4,NA,,,
5/10/30,Buenos Aires,Aeropostale,Latecoere 28,4,3,NA,,,
6/5/30,"Boston, Massachusetts",Colonial Air Transport,Ford Tri-Motor 5,15,1,NA,,,
7/7/30,"Bornholm, Denmark",Deutsche Lufthansa,Dornier Wal,8,5,NA,,,
7/10/30,"Arkansas Pass, Texas",Cross Airways,Lockheed Vega 5,5,5,NA,,,
7/21/30,"Near Meopham, Kent, England",Walcot Air Line,Junkers F-13ge,6,6,NA,,,
8/22/30,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Ford 5-AT-C Tri Motor,11,10,NA,,,
9/11/30,"Croydon, England",Sabena,Sabca F-VII,2,2,NA,,,
9/25/30,"Southesk, Saskatchewan, Canada",Western Canada Airways,?,3,3,NA,,,
10/5/30,"Near Beauvais, France",Military - British Air Ministry,Royal Airship Works R-101,54,48,NA,,,
10/6/30,"Dresden, Germany",Deutsche Lufthansa,Messerschmitt M-20B,8,8,NA,,,
10/12/30,"La Rache, Morocco",Aeropostale,Latecoere 28,4,4,NA,,,
10/28/30,"Prince Rupert, BC, Canada",Alaska-Washington Airways,Lockheed Vega,3,3,NA,,,
10/30/30,"Near Neufchatel, France",Imperial Airways,Handley Page W-8,6,3,NA,,,
10/30/30,"Brookston, Indiana",Embry Riddle Company,Pitcairn PA-6 Mailwing,1,1,NA,,,
11/7/30,"Off of Santos, Brazil",Syndicato Condor,Junkers G-24,9,1,NA,,,
11/18/30,"Techachapi Mountains, California",Pacific Air Transport,Boeing 40,3,3,NA,,,
12/9/30,"Shanghai, China",China National Aviation Corporation,Loening C-W Air Yaht,6,4,NA,,,
1/8/31,"Melle, Belgium",Sabena,Fokker F-VII,2,2,0,,,
1/22/31,"Bluff Mountain, Washington",Varney Air Lines,Boeing 40,1,1,0,,,
2/8/31,"Wairoa, New Zealand",Dominion Air Lines,Desoutter II,1,1,0,,,
