Manufacturer,#_recalls
"Columbia Northwest, Inc.",9
COLUMBIA PARCAR CORPORATION,1
COLUMBUS CAR AUDIO,1
"Columbus Trading-Partners USA, Inc.",3
"COMANCHE MANUFACTURING, INC.",1
"Combi USA, Inc.",5
COMET CORPORATION,2
COMM TRANS SULLY CORPORATION,2
COMM-TRANS,2
Command Electronics Inc,1
COMMERCIAL TRANSPORTATION MFG. CORP,1
COMMERCIAL VEHICLE GROUP,1
"Comoto Holdings, Inc.",5
"Compania Hulera Tornel, S.A. de C.V.",2
"Compass Conversions, LLC",2
COMPTON TRUCK & EQUIP. CO,3
Con-Tech Manufacturing,1
"CONCENTRIC CONTROLS,LTD.",1
Concession Nation,1
"CONCO, INCORPORATED",3
CONDERE CORPORATION,1
"Conel, LLC dba McElrath Trailers",4
"CONSOLIDATED METCO, INC.",1
"CONSTRUCTION TRAILER SPECIALISTS, INC.",1
"CONSTRUCTORS RACING GROUP, LLC",1
CONSUMERS UNION,1
"CONTEMPO CAMPERS, INC.",1
Continental Aftermarket GmbH,1
"Continental Automotive Systems, Inc.",7
"Continental Tire the Americas, LLC",24
CONTINENTAL TRAILER,1
"Contract Manufacturer, LLC",5
COOK BROS. EQUIP. COMPANY,2
"COONS MFG., INC.",2
COOPER STANDARD AUTOMOTIVE,1
Cooper Tire & Rubber Co.,145
Cooper Tire & Rubber Company Europe Ltd.,1
"Coose Trailer Manufacturing, Inc.",1
COPCO STEEL & ENG. CO.,1
CORDER MANUFACTURING COMP,1
"COREY ENTERPRISES, INC.",1
"Cornelius Manufacturing, Inc.",1
"Corp. Micro Bird, Inc.",68
CORPORATE COACHWORKS CORP,2
CORRECT CRAFT INC.,1
"COSCO, INC.",14
"COSMOPOLITAN MOTORS, INC.",5
"Cottrell, Inc.",12
COUNTRY COACH INC,64
COUNTRY HOMES CAMPER CO.,1
"COUPLED PRODUCTS, INC.",1
"Covered Wagon Trailers, LLC",1
"COWBOY CLASSIC CONVERSIONS, INC",1
Cowtown Sleepers & Pick-up Tops,1
"COX TRAILERS, INC.",1
COZAD TRAILERS,1
"Craftsmen Industries, Inc.",1
CRAFTSMEN LIMOUSINE,2
"CRAGAR INDUSTRIES, INC.",2
Crane Carrier Company,37
"CRC INDUSTRIES, INC.",2
"Creative Bus Sales, Inc.",1
"CREATIVE MOBILE SYSTEMS, INC.",1
Crestline Coach Ltd.,1
"Cross Country Mfg., Inc.",1
Crossroads RV,18
CROWN COACH CORPORATION,6
"Cruise Car, Inc.",2
Cruise LLC,2
Cruiser RV,24
Crysteel Manufacturing Inc,3
"CSC Motorcycles, LLC",1
"CSI Emergency Apparatus, LLC",1
"CUES, INC.",1
Cummings Mobility Conversion & Supply,4
"Cummins, Inc.",75
Curbtender,1
Curt Manufacturing LLC,10
Cush Corp,1
"CUSTOM BUILT GOOSENECK TRAILERS, INC.",1
CUSTOM CHROME,1
CUSTOM COACH CORPORATION,1
Custom Fab & Body LLC,1
"Custom Fire Apparatus, Inc.",9
"CUSTOM TRAILERS, INC.",1
CUSTOM TRIM OF AMERICA,1
Custom Truck And Body Works,4
Custom Truck and Equipment,1
CUSTOM VEHICLE OUTFITTERS,1
Custom Wheel House LLC,1
CX AUTOMOTIVE CORPORATION,1
"CYBER POWER SYSTEMS (USA), INC.",1
"Cycle Gear, Inc.",2
CYCLE PEUGEOT USA,3
CYCLONE AUTO SEAT COVER,1
"D'ELEGANT CONVERSIONS, INC.",1
"Dabryan Coach Builders, Inc.",7
DAEWOO MOTOR AMERICA,7
DAEWOO MOTOR DE PUERTO RICO,8
DAEWOO MOTOR GUAM,1
"DAIHATSU AMERICA, INC.",3
Daimler Buses North America,27
Daimler Coaches North America,30
Daimler Commercial Buses NA,19
"Daimler Trucks North America, LLC",490
"Daimler Vans USA, LLC",107
DAIMLERCHRYSLER MANUFACTURING INTL,8
Dainese S.p.A.,1
DAIRY EQUIP. COMPANY,1
"Dakota Manufacturing Co., Inc.",3
"Dakota Trailer Manufacturing, Inc.",1
