Name,Disaster,Begin Date,End Date,"Total CPI-Adjusted Cost, (Millions of Dollars)",Deaths
"Eastern Severe Weather, (March 2021)",Severe Storm,44282,44283,1548.2,8
"Texas Hail Storms, (April 2021)",Severe Storm,44298,44301,1696.3,0
"Texas and Oklahoma Severe Weather, (April 2021)",Severe Storm,44313,44314,3621.4,0
"Southern Tornadoes and Southeast Severe Weather, (May 2021)",Severe Storm,44318,44320,1428.6,4
"Louisiana Flooding, (May 2021)",Flooding,44333,44334,1516.9,5
"Ohio Valley Hail Storms, (June 2021)",Severe Storm,44364,44365,1911.8,0
"Central Severe Storms, (June 2021)",Severe Storm,44371,44373,1403.5,0
"Tropical Storm Elsa, (July 2021)",Tropical Cyclone,44384,44386,1358.6,1
"Central Severe Storms, (July 2021)",Severe Storm,44385,44388,1209.6,0
"North Central Severe Weather, (August 2021)",Severe Storm,44418,44421,1438.1,2
"Tropical Storm Fred, (August 2021)",Tropical Cyclone,44424,44426,1430.2,7
"Hurricane Ida, (August 2021)",Tropical Cyclone,44437,44440,82400.7,96
"Hurricane Nicholas, (September 2021)",Tropical Cyclone,44453,44457,1137.9,0
"Southeast, Central Tornado Outbreak, (December 2021)",Severe Storm,44540,44540,4306.5,93
