Year Type,Year,Organization Group Code,Organization Group,Department,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
Fiscal,2007,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",181157.27,65666.65,34403.64,281227.56,46056.45,15375.35,4704.64,66136.44,347364
Fiscal,1995,4,Community Health,DPH Public Health,Administrative & Mgmt (Unrep),"Manager, Department Of Public Health",281144.72,0,0,281144.72,49903.24,13765.55,22058.07,85726.86,366871.58
Fiscal,2010,1,Public Protection,FIR Fire Department,Fire Services,Asst Chf Of Dept (Fire Dept),207437.76,38196.58,35264.37,280898.71,46366.52,15250.26,593.86,62210.64,343109.35
Fiscal,2006,1,Public Protection,FIR Fire Department,Fire Services,"Captain, Fire Suppression",147185.35,101814.02,31814.55,280813.92,31566.43,15443.62,4770.78,51780.83,332594.75
Fiscal,1994,1,Public Protection,POL Police,Police Services,Deputy Chief 3,273397.02,0,7211.29,280608.31,49365.51,13175.97,19492.64,82034.12,362642.43
Fiscal,2008,1,Public Protection,SHF Sheriff,Correction & Detention,Senior Deputy Sheriff,111584.27,148806.48,19874.12,280264.87,32242.12,13175.98,4750.67,50168.77,330433.64
Fiscal,1998,1,Public Protection,POL Police,Police Services,Deputy Chief 3,273397.01,0,6294.29,279691.3,49365.51,13175.97,13905.18,76446.66,356137.96
Fiscal,2008,1,Public Protection,FIR Fire Department,Fire Services,Incident Support Specialist,122962.34,140335.81,16312.27,279610.42,24665.6,15715.72,4549.72,44931.04,324541.46
Fiscal,2001,1,Public Protection,FIR Fire Department,Fire Services,"Battlion Chief, Fire Suppressi",182917.33,66497.61,30011.3,279426.24,36632.59,16592.22,4734.8,57959.61,337385.85
Fiscal,2013,2,"Public Works, Transportation & Commerce",PUB Public Utilities Bureaus,Management,Dep Dir V,279377.02,0,0,279377.02,49589.48,13765.55,21963.05,85318.08,364695.1
Fiscal,2016,1,Public Protection,SHF Sheriff,Correction & Detention,Sheriff (SFERS),263501.79,0,15809.56,279311.35,49687.95,9275.74,5782.02,64745.71,344057.06
Fiscal,2017,4,Community Health,DPH Public Health,Management,Manager VIII,279230.22,0,0,279230.22,50624.47,0,20165.44,70789.91,350020.13
Fiscal,2005,6,General Administration & Finance,MYR Mayor,Administrative & Mgmt (Unrep),Mayor,279158.55,0,0,279158.55,58120.78,12516.72,17256.23,87893.73,367052.28
Fiscal,2000,1,Public Protection,POL Police,Police Services,Deputy Chief 3,273397.02,0,5605.58,279002.6,49243.95,13175.97,17135.59,79555.51,358558.11
Fiscal,1995,2,"Public Works, Transportation & Commerce",PUB Public Utilities Bureaus,Management,Executive Contract Employee,271439.64,0,7500,278939.64,49511.85,13765.55,33766.18,97043.58,375983.22
