Electricity Net Generation Total (including from sources not shown) All Sectors Monthly
https://www.eia.gov/opendata/v1/qb.php?category=711280&sdid=TOTAL.ELETPUS.M
13:20:03 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ELETPUS.M Million Kilowatthours
Dec 1992,267342.791
Nov 1992,244161.999
Oct 1992,244993.925
Sep 1992,259925.035
Aug 1992,281927.43
Jul 1992,293616.745
Jun 1992,261076.926
May 1992,242411.928
Apr 1992,233405.563
Mar 1992,247733.163
Feb 1992,239514.031
Jan 1992,267772.67
Dec 1991,254088.633
Nov 1991,241661.365
Oct 1991,245378.242
Sep 1991,256027.328
Aug 1991,292158.58
Jul 1991,294647.834
Jun 1991,269099.254
May 1991,254873.018
Apr 1991,227798.971
Mar 1991,240561.216
Feb 1991,228290.131
Jan 1991,269214.313
Dec 1990,255769.835
Nov 1990,231242.377
Oct 1990,244372.25
Sep 1990,258356.632
Aug 1990,290655.259
Jul 1990,287447.762
Jun 1990,268992.258
May 1990,241773.529
Apr 1990,229769.727
Mar 1990,244761.483
Feb 1990,229499.204
Jan 1990,255187.021
Dec 1989,274448.378
Nov 1989,234249.81
Oct 1989,235669.018
Sep 1989,242793.798
Aug 1989,275419.519
Jul 1989,273457.735
Jun 1989,250919.11
May 1989,234824.77
Apr 1989,222868.586
Mar 1989,241946.41
Feb 1989,233782.777
Jan 1989,246766.176
Dec 1988,232987.639
Nov 1988,209814.992
Oct 1988,210813.885
Sep 1988,220392.242
Aug 1988,267928.593
Jul 1988,257742.125
Jun 1988,233065.853
May 1988,208703.604
Apr 1988,196297.111
Mar 1988,214293.615
Feb 1988,217183.084
Jan 1988,238188.434
Dec 1987,220736.372
Nov 1987,200479.386
Oct 1987,203214.924
Sep 1987,213221.249
Aug 1987,247880.76
Jul 1987,248196.221
Jun 1987,225907.915
May 1987,206406.878
Apr 1987,189792.417
Mar 1987,202129.944
Feb 1987,194280.625
Jan 1987,223040.975
Dec 1986,213786.542
Nov 1986,196653.686
Oct 1986,197959.776
Sep 1986,206905.101
Aug 1986,225402.481
Jul 1986,242953.552
Jun 1986,215334.156
May 1986,197647.498
Apr 1986,186370.454
Mar 1986,197114.555
Feb 1986,192582.016
Jan 1986,217761.136
Dec 1985,219490.423
Nov 1985,192648.952
Oct 1985,194995.217
Sep 1985,202712.422
Aug 1985,226286.447
Jul 1985,227003.762
Jun 1985,205681.971
May 1985,197122.843
Apr 1985,185173.312
Mar 1985,195250.388
Feb 1985,198488.497
Jan 1985,228147.888
Dec 1984,200231.958
Nov 1984,190601.865
Oct 1984,191142.43
Sep 1984,195411.388
Aug 1984,229531.666
Jul 1984,221526.162
Jun 1984,209967.314
May 1984,192550.198
Apr 1984,181381.139
Mar 1984,200387.475
Feb 1984,189810.043
Jan 1984,216923.729
Dec 1983,212555.333
Nov 1983,183170.681
Oct 1983,183136.711
Sep 1983,195817.014
Aug 1983,230193.46
Jul 1983,220446.836
Jun 1983,191367.206
May 1983,174724.813
Apr 1983,170668.876
Mar 1983,182768.722
Feb 1983,172725.19
